filename,codec,bitrate,preset,keyint,vmaf,psnr
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint120,h264,2000k,medium,120,86.04168,34.590382
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint30,h264,2000k,medium,30,82.53197,33.55161
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint60,h264,2000k,medium,60,85.142093,34.331537
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint120,h264,2000k,slow,120,86.231799,34.616604
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint30,h264,2000k,slow,30,82.625006,33.455697
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint60,h264,2000k,slow,60,85.30392,34.301606
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint120,h264,2000k,ultrafast,120,76.784498,30.627283
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint30,h264,2000k,ultrafast,30,71.956598,29.97388
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint60,h264,2000k,ultrafast,60,75.786309,30.522246
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint120,h264,2000k,veryslow,120,86.888772,34.831465
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint30,h264,2000k,veryslow,30,82.669124,33.478538
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint60,h264,2000k,veryslow,60,85.488515,34.414211
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint120,h264,4000k,fast,120,91.512835,37.168719
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint30,h264,4000k,fast,30,89.890885,36.343866
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint60,h264,4000k,fast,60,91.047502,36.849646
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint120,h264,4000k,medium,120,92.058073,37.610192
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint30,h264,4000k,medium,30,90.251616,36.632575
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint60,h264,4000k,medium,60,91.493397,37.25445
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint120,h264,4000k,slow,120,92.194236,37.688212
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint30,h264,4000k,slow,30,90.428256,36.628699
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint60,h264,4000k,slow,60,91.628565,37.325785
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint120,h264,4000k,ultrafast,120,87.224867,33.801325
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint30,h264,4000k,ultrafast,30,84.282142,33.080006
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint60,h264,4000k,ultrafast,60,86.455474,33.637329
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint120,h264,4000k,veryslow,120,92.685219,38.262825
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint30,h264,4000k,veryslow,30,90.758056,37.032459
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint60,h264,4000k,veryslow,60,91.980516,37.846207
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint120,h264,500k,fast,120,61.972806,29.144158
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint30,h264,500k,fast,30,54.254295,27.964213
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint60,h264,500k,fast,60,59.900479,28.824277
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint120,h264,500k,medium,120,62.238889,29.131799
Animation_1080P-18f5_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,h264,1000k,medium,120,80.524882,32.886346
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,h264,1000k,medium,120,90.441707,35.211514
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint60,h264,2000k,medium,60,92.689621,37.381977
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint60,h265,1000k,fast,60,92.689621,31.797778
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx265_2000k_fast_keyint120,h265,2000k,fast,120,94.795722,38.751048
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint120,h265,2000k,slow,120,95.464493,39.923113
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint120,h265,500k,fast,120,73.530306,29.234094
Animation_1080P-209f_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint60,h265,500k,ultrafast,60,73.530306,29.009018
Animation_1080P-21dd_crf_10_ss_00_t_20.0_libx264_500k_veryslow_keyint30,h264,500k,veryslow,30,73.530306,35.396869
Animation_1080P-21dd_crf_10_ss_00_t_20.0_libx265_2000k_veryslow_keyint30,h265,2000k,veryslow,30,73.530306,39.103104
Animation_1080P-21dd_crf_10_ss_00_t_20.0_libx265_4000k_fast_keyint120,h265,4000k,fast,120,73.530306,40.224449
Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,h264,1000k,medium,120,7.636673,23.726067
Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx264_500k_slow_keyint120,h264,500k,slow,120,4.736206,23.215435
Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint30,h265,1000k,fast,30,13.139502,24.233280
Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint60,h265,1000k,fast,60,12.995812,24.257695
Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_2000k_fast_keyint60,h265,2000k,fast,60,20.255895,24.709195
Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint30,h264,4000k,fast,30,68.338922,27.444651
Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx265_2000k_medium_keyint60,h265,2000k,medium,60,68.338922,26.260298
Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx265_4000k_medium_keyint60,h265,4000k,medium,60,71.164006,27.923060
Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx265_500k_slow_keyint30,h265,500k,slow,30,15.129898,22.404794
Animation_1080P-3d67_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,h264,1000k,medium,120,28.456061,18.509172
Animation_1080P-3d67_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint120,h264,2000k,medium,120,46.35455,21.363373
Animation_1080P-3d67_crf_10_ss_00_t_20.0_libx265_4000k_ultrafast_keyint60,h265,4000k,ultrafast,60,46.35455,26.413092
Animation_1080P-3d67_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint30,h265,500k,fast,30,46.35455,19.997583
Animation_1080P-3d67_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint60,h265,500k,fast,60,33.481123,19.720034
Animation_1080P-3d67_crf_10_ss_00_t_20.0_libx265_500k_veryslow_keyint120,h265,500k,veryslow,120,35.754471,20.106239
Animation_1080P-3dbf_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint60,h264,1000k,slow,60,35.754471,35.665602
Animation_1080P-3dbf_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint120,h264,4000k,ultrafast,120,86.051716,37.343058
Animation_1080P-3dbf_crf_10_ss_00_t_20.0_libx265_4000k_ultrafast_keyint60,h265,4000k,ultrafast,60,92.131144,42.258559
Animation_1080P-3e01_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint60,h264,1000k,ultrafast,60,44.654132,29.494605
Animation_1080P-3e01_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint60,h264,1000k,veryslow,60,71.613356,33.714141
Animation_1080P-3e01_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint60,h264,2000k,veryslow,60,71.613356,37.040538
Animation_1080P-3e01_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint120,h265,1000k,fast,120,71.613356,35.012174
Animation_1080P-3e01_crf_10_ss_00_t_20.0_libx265_2000k_ultrafast_keyint60,h265,2000k,ultrafast,60,80.528533,35.842632
Animation_1080P-3e01_crf_10_ss_00_t_20.0_libx265_500k_medium_keyint30,h265,500k,medium,30,43.18277,29.513728
Animation_1080P-4214_crf_10_ss_00_t_20.0_libx265_4000k_veryslow_keyint30,h265,4000k,veryslow,30,93.059595,40.441321
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint60,h264,2000k,fast,60,83.307338,36.838893
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint60,h264,2000k,medium,60,84.135387,36.903996
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint30,h264,2000k,veryslow,30,84.135387,36.835789
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint120,h264,4000k,fast,120,87.082806,37.610922
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint60,h264,4000k,veryslow,60,87.082806,37.582566
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint120,h264,500k,fast,120,65.203927,34.583328
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx264_500k_slow_keyint60,h264,500k,slow,60,65.203927,34.545687
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint120,h265,1000k,slow,120,84.389264,36.857789
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint30,h265,1000k,slow,30,84.389264,36.951814
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx265_4000k_veryslow_keyint60,h265,4000k,veryslow,60,91.581549,38.272572
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint120,h265,500k,fast,120,91.581549,36.058747
Animation_1080P-4be3_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint120,h265,500k,ultrafast,120,91.581549,35.511320
Animation_1080P-4ea8_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint60,h264,500k,medium,60,71.827159,38.788874
Animation_1080P-4ea8_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint60,h265,2000k,slow,60,86.794238,40.126055
Animation_1080P-4ea8_crf_10_ss_00_t_20.0_libx265_4000k_medium_keyint120,h265,4000k,medium,120,87.024217,40.339668
Animation_1080P-4ea8_crf_10_ss_00_t_20.0_libx265_4000k_veryslow_keyint120,h265,4000k,veryslow,120,88.389772,40.070066
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint30,h264,2000k,veryslow,30,87.011618,39.584938
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint30,h264,500k,fast,30,87.011618,35.435632
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx265_1000k_medium_keyint30,h265,1000k,medium,30,82.613836,39.024441
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx265_2000k_fast_keyint120,h265,2000k,fast,120,86.90094,39.521552
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx265_2000k_medium_keyint60,h265,2000k,medium,60,88.053873,41.436559
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx265_4000k_medium_keyint120,h265,4000k,medium,120,88.053873,42.764392
Animation_1080P-58d3_crf_10_ss_00_t_20.0_libx265_4000k_slow_keyint60,h265,4000k,slow,60,94.259059,45.373238
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint120,h264,500k,medium,120,93.545406,43.086683
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint120,h265,1000k,slow,120,97.438535,52.076740
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx265_1000k_veryslow_keyint30,h265,1000k,veryslow,30,97.438535,48.699499
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint120,h265,2000k,slow,120,97.894361,55.693837
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint60,h265,2000k,slow,60,97.894361,55.028927
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx265_4000k_fast_keyint120,h265,4000k,fast,120,97.974919,57.299239
Animation_1080P-5dd8_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint30,h265,500k,fast,30,91.185394,42.235427
Animation_1080P-646f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint60,h264,4000k,fast,60,91.185394,42.400646
Animation_1080P-646f_crf_10_ss_00_t_20.0_libx264_500k_veryslow_keyint120,h264,500k,veryslow,120,73.997243,35.045505
Animation_1080P-646f_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint120,h265,500k,ultrafast,120,75.162198,36.430022
Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint120,h264,2000k,fast,120,12.388007,21.682220
Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint60,h264,4000k,ultrafast,60,12.388007,21.500214
Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint60,h264,4000k,veryslow,60,12.388007,24.197589
Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint120,h264,500k,ultrafast,120,13.923594,17.925250
Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx265_2000k_ultrafast_keyint30,h265,2000k,ultrafast,30,13.923594,21.608562
Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx265_4000k_medium_keyint30,h265,4000k,medium,30,34.836368,24.765583
Animation_2160P-6f3b_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint120,h264,4000k,veryslow,120,91.455468,44.537247
Animation_2160P-6f3b_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint60,h265,1000k,slow,60,75.090797,39.431208
Animation_360P-08c9_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint30,h264,500k,fast,30,90.442706,38.245735
Animation_360P-08c9_crf_10_ss_00_t_20.0_libx265_1000k_veryslow_keyint60,h265,1000k,veryslow,60,90.442706,44.656784
Animation_360P-08c9_crf_10_ss_00_t_20.0_libx265_4000k_veryslow_keyint60,h265,4000k,veryslow,60,99.662835,56.229028
Animation_360P-08c9_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint120,h265,500k,ultrafast,120,86.647081,37.420570
Animation_360P-08c9_crf_10_ss_00_t_20.0_libx265_500k_veryslow_keyint30,h265,500k,veryslow,30,86.647081,40.413142
